Molecule,Structure,smiles string,DipoleMoment
1-Propanol,C3H7OH,CCCO,1.55
Sulfur monoxide,SO,O=S,1.55
Diethyl sulfide,C2H5SC2H5,CCSCC,1.56
pentafluoroethane,CF3CHF2,C(C(F)(F)F)(F)F,1.56
metadifluorobenzene,C6H4F2,C1=CC(=CC(=C1)F)F,1.58
Isopropyl alcohol,CH3CHOHCH3,CC(C)O,1.58
Arsenous trichloride,AsCl3,Cl[As](Cl)Cl,1.59
diazirine,CH2NN,N1N=C1,1.59
2-Propen-1-ol,C3H6O,C=CCO,1.6
Fluorobenzene,C6H5F,C1=CC=C(C=C1)F,1.6
Disulfur dichloride,ClSSCl,S(SCl)Cl,1.6
Methylene chloride,CH2Cl2,C(Cl)Cl,1.6
Bromine monoxide,BrO,[Br]O,1.61
Isocyanic acid,HNCO,C(=N)=O,1.613
methyl iodide,CH3I,CI,1.62
"Furan, tetrahydro-",C4H8O,C1CCOC1,1.63
Sulfur dioxide,SO2,O=S=O,1.63
"1-Propanol, 2-methyl-",C4H10O,CC(C)CO,1.64
Thioformaldehyde,H2CS,C=S,1.647
"Methane, trifluoro-",CHF3,C(F)(F)F,1.65
1-Butanol,C4H10O,CCCCO,1.66
Hydroxyl radical,OH,[OH],1.66
1-chloro-1-propene(Z),C3H5Cl,C/C=C\Cl,1.67
Nitrosyl hydride,HNO,N=O,1.67
"Ethane, 1,​1,​2-​trifluoro-",CHF2CH2F,C(C(F)F)F,1.68
chlorobenzene,C6H5Cl,C1=CC=C(C=C1)Cl,1.69
Borane carbonyl,BH3CO,[B]OC,1.698
bromobenzene,C6H5Br,C1=CC=C(C=C1)Br,1.7
Acetic acid,CH3COOH,CC(=O)O,1.7
hydrogen azide,HN3,N=[N+]=[N-],1.7
Methyl alcohol,CH3OH,CO,1.7
methyl acetate,CH3COOCH3,CC(=O)OC,1.72
silicon monosulfide,SiS,[Si]=S,1.73
"Methane, bromofluoro-",CH2BrF,C(F)Br,1.739
"Ethanol, 1,1-dimethyl-",C4H10O,CC(C)(C)O,1.74
"2H-Pyran, tetrahydro-",C5H10O,C1CCOCC1,1.74
Scandium monohydride,ScH,[ScH],1.74
"Thiophene, 2,5-dihydro-",C4H6S,C1C=CCS1,1.75
Hydrazine,N2H4,NN,1.75
Phosphoryl fluoride,F3PO,O=P(F)(F)F,1.76
Hydrogen peroxide,H2O2,OO,1.77
methyl formate,CH3OCHO,COC=O,1.77
Ethyl acetate,C4H8O2,CCOC(=O)C,1.78
"Ethane, 1,1,1-trichloro-",CH3CCl3,CC(Cl)(Cl)Cl,1.78
"2H-Thiopyran, tetrahydro-",C5H10S,C1CCSCC1,1.78
Methylketene,C3H4O,CC=C=O,1.79
Hydrogen methyl disulfide,CH3SSH,CSS,1.796
2-Propyn-1-ol,C3H4O,C#CCO,1.81
Mononitrogen monosulfide,NS,[N]=S,1.81
Nitrosyl fluoride,FNO,N(=O)F,1.81
Sulfuryl chloride,SO2Cl2,O=S(=O)(Cl)Cl,1.81
methyl bromide,CH3Br,CBr,1.81
Hydrogen fluoride,HF,F,1.82
fluorochloromethane,CH2FCl,ClCF,1.82
Pyrrole,C4H5N,C1=CNC=C1,1.84
Thietane,C3H6S,C1CSC1,1.85
Thiirane,C2H4S,C1CS1,1.85
Methyl fluoride,CH3F,CF,1.85
Water-d1,HDO,[2H]O,1.852
Water,H2O,O,1.855
Deuterium oxide,D2O,[2H]O[2H],1.855
Nitrosyl chloride,ClNO,N(=O)Cl,1.866
Methyl chloride,CH3Cl,CCl,1.87
Phosphorus monoxide,PO,O=[P],1.88
Ethylene oxide,C2H4O,C1CO1,1.89
1-Fluoropropane,CH2FCH2CH3,CCF,1.9
"Ethene, 1,2-dichloro-, (Z)-",CHClCHCl,Cl/C=C\Cl,1.9
ethanimine,CH3CHNH,CC=N,1.9
diiminomethane,HNCNH,N=C=N,1.9
Thiazyl fluoride,FSN,N#SF,1.902
difluoramine,NHF2,N(F)F,1.92
Oxetane,C3H6O,C1COC1,1.94
"1-Propene, 3-chloro-",C3H5Cl,C=CCCl,1.94
"Propane, 1-chloro-",CH2ClCH2CH3,CCCCl,1.95
"Thiirane, methyl-",C3H6S,CC1CS1,1.95
fluoroethane,C2H5F,CCF,1.96
1-chloro-1-propene(E),C3H5Cl,C/C=C/Cl,1.97
"Methane, difluoro-",CH2F2,C(F)F,1.97
Ethyl formate,HCOOC2H5,CCOC=O,1.98
carbon monosulfide,CS,[C-]#[S+],1.98
peroxy nitric acid,HOONO2,OO[N+]([O-])=O,1.987
Ethylenediamine,C2H8N2,C(CN)N,1.99
Ammonia Dimer,NH3NH3,N.N,1.99
Methanimine,CH2NH,C=N,2
Thiohydroxylamine,NH2SH,C=NO,2.005
Propylene oxide,C3H6O,CC1CO1,2.01
Selenium monoxide,SeO,O=[Se],2.01
Ethyl bromide,C2H5Br,CCBr,2.03
"Butane, 2-chloro-",CH3CHClCH2CH3,CCC(C)Cl,2.04
Ethyl chloride,CH3CH2Cl,CCCl,2.05
"Butane, 1-chloro-",CH2ClCH2CH2CH3,CCCCCl,2.05
Methyl nitrite,CH3ONO,CON=O,2.05
"1,1,1,2-tetrafluoroethane",CF3CH2F,C(C(F)(F)F)F,2.06
"1,3-Dioxane",C4H8O2,C1COCOC1,2.06
"Ethane, 1,1-dichloro-",CH3CHCl2,C(Cl)Cl,2.06
"1,3,5-Trioxane",C3H6O3,O1COCOC1,2.08
formyl fluoride,HFCO,C(=O)F,2.081
Dinitrogen trioxide,N2O3,N(=O)[N+](=O)[O-],2.122
"Propane, 2-chloro-2-methyl-",CH3CCl(CH3)CH3,CC(C)(C)Cl,2.13
pentaborane9,B5H9,[BH3-]BBB[BH3-],2.13
"1-Chloro-1,1-Difluoroethane",CH3CF2Cl,CC(F)(F)Cl,2.14
"Pentane, 1-chloro-",C5H11Cl,CCCCCCl,2.16
"Propane, 2-chloro-",CH3CHClCH3,CC(C)Cl,2.17
Cyanogen fluoride,FCN,C(#N)F,2.17
Nitric acid,HNO3,[N+](=O)(O)[O-],2.17
n-propyl bromide,CH3CH2CH2Br,CCCBr,2.18
Pyridine,C5H5N,C1=CC=NC=C1,2.19
i-propyl bromide,CH3CHBrCH3,CC(C)Br,2.21
